tp,fp,fn,precision,recall,f1,num_preds,num_gold,num_unique_preds,duplicate_rate,note_id
0,8,2,0.0,0.0,0.0,8,2,8,0.0,a2196b4c-cd29-4301-b8ed-e7ab68b5c495
1,7,2,0.125,0.3333333333333333,0.18181818181818182,8,3,8,0.0,4d41f2ae-b951-4e06-a833-418681ade3da
0,9,3,0.0,0.0,0.0,9,3,9,0.0,8df17e6a-fd56-4deb-8766-644ba6a8e34e
1,6,2,0.14285714285714285,0.3333333333333333,0.2,7,3,7,0.0,45e6d9a0-4044-49f5-ac64-f37dd14bbf87
0,2,5,0.0,0.0,0.0,2,5,2,0.0,8f5b23dc-127e-47ce-b889-c3fc92a6a06c
0,9,3,0.0,0.0,0.0,9,3,9,0.0,7a8f78c6-0337-4d7a-a93d-190b4e7a057b
2,10,2,0.16666666666666666,0.5,0.25,12,4,12,0.0,c4dfcb83-6153-4e69-8fba-a1d69342de61
0,9,3,0.0,0.0,0.0,9,3,9,0.0,5e4cec3e-599b-414b-848e-b1680b0c1ce2
0,9,3,0.0,0.0,0.0,9,3,9,0.0,33b48c25-726b-4804-a504-b0791ca5bd7f
1,8,2,0.1111111111111111,0.3333333333333333,0.16666666666666666,9,3,9,0.0,78930a10-0637-4158-8b15-c002835e3f00
2,18,2,0.1,0.5,0.16666666666666669,20,4,20,0.0,3f875bb4-0a56-4a45-90c1-4182a2f8948e
0,1,3,0.0,0.0,0.0,1,3,1,0.0,39b7b3b8-2b76-4624-b8c5-9f8503e9b089
0,1,3,0.0,0.0,0.0,1,3,1,0.0,804f292c-1df4-4aa2-ab9f-f91b502bf4fd
0,2,4,0.0,0.0,0.0,2,4,2,0.0,17f109c0-a245-4b72-a73c-a5f98acecb4d
0,7,3,0.0,0.0,0.0,7,3,7,0.0,baf1dd40-42cf-43b7-a3ce-8697bdc5c933
0,1,4,0.0,0.0,0.0,1,4,1,0.0,a7641a0d-6069-4540-b185-ddb712bdfdcc
1,7,2,0.125,0.3333333333333333,0.18181818181818182,8,3,8,0.0,8c6d5c80-586e-4b13-bd7f-faf12cf3ab50
1,6,2,0.14285714285714285,0.3333333333333333,0.2,7,3,7,0.0,ba4896b7-0b32-43ba-aa60-f94e5b2bad83
